area_type,availability,location,size,society,total_sqft,bath,balcony,park_faci,dist_mainroad,price
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,0,100,55
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,0,36,650
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,1,23,44
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,1,13,140
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,1,154,62
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,1,58,43
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,0,89,57
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7,0,0,176,85
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,1,48,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,0,39,100
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,1,177,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,So0sty,1569,3,1,1,116,101
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,1,116,70
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,0,51,140
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,1,41,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2,3,0,192,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,1,72,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1,0,0,148,22
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6,3,0,24,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,1,100,105
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,0,49,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,0,43,78
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2,2,1,187,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,0,85,102
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7,2,1,171,210
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3,2,1,149,88
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,0,73,37
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,1,62,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6,3,1,145,160
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,0,125,70
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2,1,1,121,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2,2,1,70,70
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4,2,0,129,155
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,1,6,80
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3,2,1,103,90
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,0,8,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,1,50,48
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2,1,0,67,65
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3,1,1,0,90
Super built-up  Area,Ready To Move,1hwanthpur,3 BHK,IBityin,2502,3,3,1,6,138
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1,1,1,147,17
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2,1,1,71,150
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,0,34,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,0,178,50
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2,2,1,185,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2,1,0,106,98
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,0,144,229
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2,2,0,135,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,1,38,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3,3,0,40,120
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,1,73,75
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,1,142,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,1,1,79,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4,1,0,89,225
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3,2,0,34,140
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2,3,0,72,64
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3,1,0,177,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2,2,1,20,75
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3,3,0,99,23
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3,2,0,166,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,1,0,137,200
Super built-up  Area,18-Mar,Hebbal,4 BHK,S0ntle,3067 - 8156,4,0,0,50,477
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4,2,0,74,150
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,1,59,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2,1,1,63,34
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,2,1,44,65
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2,1,0,75,54
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2,1,0,113,78
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7,0,0,60,115
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,1,90,110
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3,1,0,166,75
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1,1,0,169,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4,0,1,144,210
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,0,10,83
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,1,116,57
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,0,122,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2,0,1,148,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3,1,0,108,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,0,98,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8,,0,57,250
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5,1,0,129,213
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3,1,0,104,105
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2,1,1,17,60
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2,1,0,85,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7,2,1,1,225
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3,,0,109,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2,1,1,164,35
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3,3,0,121,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5,,1,136,185
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4,2,0,97,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,0,96,58
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2,3,1,177,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4,,1,90,235
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2,2,1,145,50
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2,1,1,0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2,2,0,145,50
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3,3,1,37,135
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3,1,0,9,145
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4,0,1,181,760
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2,3,0,93,48
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,0,187,32
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,1,1,81,150
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4,2,0,20,420
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3,1,0,84,175
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2,0,1,37,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,1,108,75
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,0,15,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,1,193,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,1,144,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6,0,0,122,99
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1,1,0,95,11
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,0,196,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2,1,1,147,56
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3,3,0,78,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3,2,0,39,100
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3,2,0,20,85
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1,0,1,178,14
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1,2,1,141,67
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1,1,0,158,36
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2,3,1,174,51
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3,2,0,94,155
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3,2,0,124,145
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3,2,1,82,110
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,1,76,52
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3,2,0,81,300
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2,2,0,69,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2,1,0,177,46
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2,0,1,73,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2,2,1,11,52
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4,1,0,190,110
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2,3,0,144,80
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5,,0,73,325
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7,1,1,36,250
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2,2,0,194,60
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,2,0,14,98
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2,2,1,116,58
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3,1,0,71,115
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3,2,1,76,56
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2,1,0,158,48
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2,2,1,187,82
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2,1,1,54,70
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2,2,0,89,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2,1,1,64,53
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2,2,1,82,54
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2,2,1,39,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3,2,0,28,88
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2,1,1,65,87
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2,2,1,153,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6,0,1,115,190
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4,1,0,148,428
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3,2,0,17,65
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3,2,0,102,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3,2,0,76,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3,3,1,16,100
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2,1,1,77,65
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6,0,1,84,141
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,1,176,27
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3,3,0,182,78
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3,2,0,86,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3,2,1,50,125
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2,3,0,163,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4,1,1,69,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2,1,0,88,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,1,84,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4,2,1,104,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2,2,1,82,72
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2,1,1,103,115
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3,2,0,187,119
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2,1,1,52,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,1,76,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,1,135,60
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,0,34,55
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2,2,0,84,42
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2,2,1,196,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2,1,1,66,65
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2,2,0,119,39
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3,1,0,131,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5,2,0,84,150
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2,2,1,86,60
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,0,18,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8,2,1,98,180
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,0,188,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,3,0,200,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2,3,0,78,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200,3,1,1,111,90
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2,1,0,64,40
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3,1,0,112,70
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3,2,1,120,280
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3,2,0,112,185
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1,1,1,138,20
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2,2,1,134,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2,2,0,48,93
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2,2,1,142,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2,1,1,168,69
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2,0,1,159,95
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2,2,1,77,36
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2,1,1,148,63
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,1200,5,,0,141,170
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3,2,1,90,170
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3,2,1,142,300
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3,2,0,93,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,2,1,175,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,1,0,105,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2,2,0,69,49.2
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4,0,0,121,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,1,4,46
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2,2,1,81,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1,1,1,95,26
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3,2,1,1,120
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2,1,1,123,32
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3,2,0,200,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2,1,0,49,45
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,900,2,1,0,100,110
Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2,3,1,145,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3,2,0,31,132
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2,1,0,85,80.9
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4,2,0,25,250
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3,3,1,18,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,1,71,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,1,1,116,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,1,1,70,100
Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6,0,1,171,250
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,1,2,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2,1,1,156,46
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2,2,1,103,94
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2,1,0,105,40
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2,2,0,120,56
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,0,106,50
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2,2,1,184,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2,1,1,170,51.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,0,167,44
